Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LCD1       AP9-00111         -163.0801mm    -206.481mm        27.9mm       -49.9mm   -163.0801mm    -206.481mm  T          0.00 LCD_COLOR      
LABEL1     AP8-00317         -163.0801mm    -206.481mm      -0.825mm     -71.275mm   -163.0801mm    -206.481mm  B         90.00 LBL1           
C1         AP1-00002              52.6mm     -43.325mm        52.6mm     -43.325mm        53.4mm     -43.325mm  B        180.00 CAP-NONPOL     
C2         AP1-00038           54.5998mm    -61.6255mm     54.5998mm    -61.1005mm     54.5998mm    -61.1005mm  B        180.00 CAP-NONPOL     
C3         AP1-00001           19.2248mm    -75.8256mm     19.2248mm    -75.8256mm     18.6748mm    -75.8256mm  B        360.00 CAP-NONPOL     
C4         AP1-00001           19.6498mm    -69.3006mm     19.6498mm    -69.3006mm     19.0998mm    -69.3006mm  B        360.00 CAP-NONPOL     
C5         AP1-00001           19.8998mm    -61.9256mm     19.8998mm    -61.9256mm     19.3498mm    -61.9256mm  B        360.00 CAP-NONPOL     
C6         AP1-00038           11.9998mm     -5.0255mm     11.9998mm     -4.5006mm     11.9998mm     -4.5006mm  B        180.00 CAP-NONPOL     
C7         AP1-00038            42.975mm       -34.4mm       42.45mm       -34.4mm       42.45mm       -34.4mm  B        270.00 CAP-NONPOL     
C8         AP1-00001           46.0998mm    -37.2005mm     46.0998mm    -37.2005mm     46.0998mm    -37.7505mm  B         90.00 CAP-NONPOL     
C9         AP1-00038           44.8248mm    -40.8006mm     44.2998mm    -40.8006mm     44.2998mm    -40.8006mm  B        270.00 CAP-NONPOL     
C10        AP1-00001           40.1998mm    -45.9006mm     40.1998mm    -45.9006mm     40.1998mm    -45.3505mm  B        270.00 CAP-NONPOL     
C11        AP1-00038           41.7998mm    -46.0256mm     41.7998mm    -45.5005mm     41.7998mm    -45.5005mm  B        180.00 CAP-NONPOL     
C12        AP1-00001           33.5998mm    -38.8255mm     33.5998mm    -38.8255mm     34.1498mm    -38.8255mm  B        180.00 CAP-NONPOL     
C13        AP1-00038           33.5998mm    -37.2005mm     34.1248mm    -37.2005mm     34.1248mm    -37.2005mm  B         90.00 CAP-NONPOL     
D1         AP4-00036             51.15mm       -46.7mm       51.15mm       -46.7mm       51.15mm         -46mm  B        270.00 Farnell# 1615809
